data,بدون_تشكيل,tag,المحذوف,root,تصنيف_الجذر
,سمعهم,اسم,سَمْعِهِمْ,,
,وعلي,حرف_جر,وَعَلَىٰ,,
,ابصارهم,اسم,أَبْصَارِهِمْ,,
,None,اسم,غِشَاوَةٌ,,
,ولهم,حرف_جر,وَلَهُمْ,,
,None,اسم,عَذَابٌ,,
,None,اسم,عَظِيمٌ,,
,ومن,حرف_جر,وَمِنَ,,
,الناس,اسم,النَّاسِ,,
,,فعل,مَنْ,,
,يقول,فعل,,,
آمَنَّا,امنا,,,,
بِاللَّهِ,بالله,,,بلل,جذر
وَبِالْيَوْمِ,وباليوم,,,بلم,جذر
الْآخِرِ,,اسم,الْآخِرِ,,
,وما,حرف,وَمَا,,
هُمْ,,اسم,هم,,
بِمُؤْمِنِينَ,بمومنين,,,بنن,جذر
يُخَادِعُونَ,يخادعون,,,عون,جذر
اللَّهَ,,اسم,اللَّهَ,,
وَالَّذِينَ,,اسم,والذين,لذي,جذر
آمَنُوا,امنوا,,,منو,جذر
,وما,حرف,وَمَا,,
يَخْدَعُونَ,يخدعون,,,عون,جذر
,الا,حرف,إِلَّا,,
أَنْفُسَهُمْ,انفسهم,,,فهم,جذر
,وما,حرف,وَمَا,,
يَشْعُرُونَ,يشعرون,,,شرن,جذر
,في,حرف_جر,فِي,,
,قلوبهم,اسم,قُلُوبِهِمْ,,
,None,اسم,مَرَضٌ,,
فَزَادَهُمُ,فزادهم,,,فدم,جذر
اللَّهُ,,اسم,اللَّهُ,,
,None,اسم,مَرَضًا,,
,ولهم,حرف_جر,وَلَهُمْ,,
,None,اسم,عَذَابٌ,,
,None,اسم,أَلِيمٌ,,
,بما,حرف_جر,بِمَا,,
,كانوا,اسم,كَانُوا,,
يَكْذِبُونَ,يكذبون,,,بون,جذر
وَإِذَا,واذا,,,,
قِيلَ,قيل,,,قيل,جذر
,لهم,حرف_جر,لَهُمْ,,
,لا,اسم,لَا,,
تُفْسِدُوا,تفسدوا,,,فسد,جذر
,في,حرف_جر,فِي,,
,الارض,اسم,الْأَرْضِ,,
قَالُوا,قالوا,,,قلو,جذر
,انما,حرف,إِنَّمَا,,
نَحْنُ,,اسم,نحن,,
مُصْلِحُونَ,مصلحون,,,صحن,جذر
,الا,فعل,,,
إِنَّهُمْ,انهم,,,نهم,جذر
هُمُ,,اسم,هم,,
الْمُفْسِدُونَ,المفسدون,اسم,الْمُفْسِدُونَ,فسد,جذر
,ولكن,حرف,وَلَٰكِنْ,,
,لا,حرف,لَا,,
يَشْعُرُونَ,يشعرون,,,شرن,جذر
وَإِذَا,واذا,,,,
قِيلَ,قيل,,,قيل,جذر
,لهم,حرف_جر,لَهُمْ,,
,امنوا,اسم,آمِنُوا,,
,كما,حرف,كَمَا,,
آمَنَ,امن,,,,
النَّاسُ,الناس,اسم,النَّاسُ,,
قَالُوا,قالوا,,,قلو,جذر
أَنُؤْمِنُ,انومن,,,,
,كما,حرف,كَمَا,,
آمَنَ,امن,,,,
السُّفَهَاءُ,السفهاء,اسم,السُّفَهَاءُ,لفء,جذر
,الا,فعل,,,
إِنَّهُمْ,انهم,,,نهم,جذر
هُمُ,,اسم,هم,,
السُّفَهَاءُ,السفهاء,اسم,السُّفَهَاءُ,لفء,جذر
,ولكن,حرف,وَلَٰكِنْ,,
,لا,حرف,لَا,,
يَعْلَمُونَ,يعلمون,,,علم,جذر
وَإِذَا,واذا,,,,
لَقُوا,لقوا,,,لقو,جذر
الَّذِينَ,,اسم,الَّذِينَ,لذي,جذر
آمَنُوا,امنوا,,,منو,جذر
قَالُوا,قالوا,,,قلو,جذر
آمَنَّا,امنا,,,,
وَإِذَا,واذا,,,,
خَلَوْا,خلوا,,,خلو,جذر
إِلَىٰ,الي,,,,
شَيَاطِينِهِمْ,شياطينهم,,,شطم,جذر
قَالُوا,قالوا,,,قلو,جذر
إِنَّا,,اسم,انا,,
مَعَكُمْ,معكم,,,عكم,جذر
,انما,حرف,إِنَّمَا,,
نَحْنُ,,اسم,نحن,,
مُسْتَهْزِئُونَ,مستهزيون,,,تهن,جذر
اللَّهُ,,اسم,اللَّهُ,,
يَسْتَهْزِئُ,يستهزي,,,سته,جذر
,بهم,حرف_جر,بِهِمْ,,
,ويمدهم,اسم,وَيَمُدُّهُمْ,,
,في,حرف_جر,فِي,,
,طغيانهم,اسم,طُغْيَانِهِمْ,,
يَعْمَهُونَ,يعمهون,,,عمن,جذر
أُولَٰئِكَ,,اسم,اوليك,,
الَّذِينَ,,اسم,الَّذِينَ,لذي,جذر
اشْتَرَوُا,اشتروا,,,شتر,جذر
الضَّلَالَةَ,الضلاله,اسم,الضَّلَالَةَ,ضلل,جذر
بِالْهُدَىٰ,بالهدي,,,بلد,جذر
,فما,حرف,فَمَا,,
رَبِحَتْ,ربحت,,,بحت,جذر
تِجَارَتُهُمْ,تجارتهم,,,تجر,جذر
,وما,حرف,وَمَا,,
كَانُوا,كانوا,,,كنو,جذر
مُهْتَدِينَ,مهتدين,,,متد,جذر
مَثَلُهُمْ,مثلهم,,,ثلم,جذر
كَمَثَلِ,كمثل,,,كمل,جذر
الَّذِي,,اسم,الَّذِي,لذي,جذر
اسْتَوْقَدَ,استوقد,,,توق,جذر
,None,اسم,نَارًا,,
,فلما,حرف,فَلَمَّا,,
أَضَاءَتْ,اضاءت,,,,
مَا,,اسم,ما,,
حَوْلَهُ,حوله,,,حول,جذر
,,فعل,,,
اللَّهُ,,اسم,اللَّهُ,,
بِنُورِهِمْ,بنورهم,,,برم,جذر
وَتَرَكَهُمْ,وتركهم,,,ترك,جذر
,في,حرف_جر,فِي,,
,None,اسم,ظُلُمَاتٍ,,
,لا,حرف,لَا,,
يُبْصِرُونَ,يبصرون,,,برو,جذر
,None,اسم,صُمٌّ,,
,None,اسم,بُكْمٌ,,
,None,اسم,عُمْيٌ,,
,فهم,حرف,فَهُمْ,,
,لا,حرف,لَا,,
يَرْجِعُونَ,يرجعون,,,جعو,جذر
,او,حرف,أَوْ,,
,None,اسم,كَصَيِّبٍ,,
مِنَ,,اسم,من,,
السَّمَاءِ,السماء,اسم,السَّمَاءِ,لسم,جذر
,فيه,حرف_جر,فِيهِ,,
,None,اسم,ظُلُمَاتٌ,,
,None,اسم,وَرَعْدٌ,,
,None,اسم,وَبَرْقٌ,,
يَجْعَلُونَ,يجعلون,,,جعل,جذر
أَصَابِعَهُمْ,اصابعهم,,,صبع,جذر
,في,حرف_جر,فِي,,
,اذانهم,اسم,آذَانِهِمْ,,
مِنَ,,اسم,من,,
الصَّوَاعِقِ,الصواعق,اسم,الصَّوَاعِقِ,صعق,جذر
حَذَرَ,حذر,,,حذر,جذر
الْمَوْتِ,الموت,اسم,الْمَوْتِ,لمو,جذر
وَاللَّهُ,والله,,,وله,جذر
,None,اسم,مُحِيطٌ,,
بِالْكَافِرِينَ,بالكافرين,,,بري,جذر
يَكَادُ,يكاد,,,,
الْبَرْقُ,البرق,اسم,الْبَرْقُ,برق,جذر
يَخْطَفُ,يخطف,,,خطف,جذر
أَبْصَارَهُمْ,ابصارهم,,,برم,جذر
كُلَّمَا,كلما,,,كلم,جذر
أَضَاءَ,اضاء,,,,
,لهم,حرف_جر,لَهُمْ,,
,مشوا,اسم,مَشَوْا,,
,فيه,حرف_جر,فِيهِ,,
,واذا,اسم,وَإِذَا,,
أَظْلَمَ,اظلم,,,ظلم,جذر
,عليهم,حرف_جر,عَلَيْهِمْ,,
,قاموا,اسم,قَامُوا,,
,ولو,حرف,وَلَوْ,,
,شاء,فعل,,,
اللَّهُ,,اسم,اللَّهُ,,
لَذَهَبَ,لذهب,,,لهب,جذر
بِسَمْعِهِمْ,بسمعهم,,,بسم,جذر
وَأَبْصَارِهِمْ,وابصارهم,,,برم,جذر
,ان,حرف,إِنَّ,,
اللَّهَ,,اسم,اللَّهَ,,
,علي,حرف_جر,عَلَىٰ,,
,كل,اسم,كُلِّ,,
,None,اسم,شَيْءٍ,,
,None,اسم,قَدِيرٌ,,
,يا,حرف,يَا,,
,ايها,حرف,أَيُّهَا,,
النَّاسُ,الناس,اسم,النَّاسُ,,
اعْبُدُوا,اعبدوا,,,بدو,جذر
رَبَّكُمُ,ربكم,,,بكم,جذر
الَّذِي,,اسم,الَّذِي,لذي,جذر
خَلَقَكُمْ,خلقكم,,,لقم,جذر
وَالَّذِينَ,,اسم,والذين,لذي,جذر
,,فعل,مِنْ,,
قَبْلِكُمْ,قبلكم,,,بكم,جذر
لَعَلَّكُمْ,لعلكم,,,عكم,جذر
تَتَّقُونَ,تتقون,,,,
الَّذِي,,اسم,الَّذِي,لذي,جذر
,جعل,فعل,,,
لَكُمُ,لكم,,,لكم,جذر
الْأَرْضَ,الارض,اسم,الْأَرْضَ,,
,None,اسم,فِرَاشًا,,
وَالسَّمَاءَ,والسماء,,,لسم,جذر
,None,اسم,بِنَاءً,,
وَأَنْزَلَ,وانزل,,,نزل,جذر
مِنَ,,اسم,من,,
السَّمَاءِ,السماء,اسم,السَّمَاءِ,لسم,جذر
,None,اسم,مَاءً,,
فَأَخْرَجَ,فاخرج,,,فخج,جذر
,به,حرف_جر,بِهِ,,
مِنَ,,اسم,من,,
الثَّمَرَاتِ,الثمرات,اسم,الثَّمَرَاتِ,ثمر,جذر
,None,اسم,رِزْقًا,,
,لكم,حرف_جر,لَكُمْ,,
,فلا,اسم,فَلَا,,
تَجْعَلُوا,تجعلوا,,,تعل,جذر
لِلَّهِ,,اسم,لله,,
,None,اسم,أَنْدَادًا,,
,وانتم,حرف,وَأَنْتُمْ,,
تَعْلَمُونَ,تعلمون,,,تعل,جذر
,وان,حرف,وَإِنْ,,
كُنْتُمْ,كنتم,,,كتم,جذر
,في,حرف_جر,فِي,,
,None,اسم,رَيْبٍ,,
,مما,حرف_جر,مِمَّا,,
,نزلنا,اسم,نَزَّلْنَا,,
,علي,حرف_جر,عَلَىٰ,,
,عبدنا,اسم,عَبْدِنَا,,
فَأْتُوا,فاتوا,,,فتو,جذر
,None,اسم,بِسُورَةٍ,,
,,فعل,مِنْ,,
مِثْلِهِ,مثله,,,مثل,جذر
وَادْعُوا,وادعوا,,,ودع,جذر
شُهَدَاءَكُمْ,شهداءكم,,,شءم,جذر
,,فعل,مِنْ,,
دُونِ,,اسم,دون,دون,جذر
اللَّهِ,,اسم,اللَّهِ,,
,ان,حرف,إِنْ,,
كُنْتُمْ,كنتم,,,كتم,جذر
صَادِقِينَ,صادقين,,,صدق,جذر
,فان,حرف,فَإِنْ,,
,,فعل,لَمْ,,
تَفْعَلُوا,تفعلوا,,,تعل,جذر
,ولن,حرف,وَلَنْ,,
تَفْعَلُوا,تفعلوا,,,تعل,جذر
فَاتَّقُوا,فاتقوا,,,فتق,جذر
النَّارَ,النار,اسم,النَّارَ,,
الَّتِي,,اسم,الَّتِي,,
وَقُودُهَا,وقودها,,,قود,جذر
النَّاسُ,الناس,اسم,النَّاسُ,,
وَالْحِجَارَةُ,والحجاره,,,حجر,جذر
أُعِدَّتْ,اعدت,,,,
لِلْكَافِرِينَ,للكافرين,,,فري,جذر
وَبَشِّرِ,وبشر,,,بشر,جذر
الَّذِينَ,,اسم,الَّذِينَ,لذي,جذر
آمَنُوا,امنوا,,,منو,جذر
وَعَمِلُوا,وعملوا,,,علو,جذر
الصَّالِحَاتِ,الصالحات,اسم,الصَّالِحَاتِ,صلت,جذر
,ان,حرف,أَنَّ,,
,لهم,حرف_جر,لَهُمْ,,
,None,اسم,جَنَّاتٍ,,
تَجْرِي,تجري,,,تجر,جذر
,,فعل,مِنْ,,
تَحْتِهَا,تحتها,,,,
الْأَنْهَارُ,الانهار,اسم,الْأَنْهَارُ,نهر,جذر
كُلَّمَا,كلما,,,كلم,جذر
رُزِقُوا,رزقوا,,,رزق,جذر
,منها,حرف_جر,مِنْهَا,,
,,فعل,مِنْ,,
,None,اسم,ثَمَرَةٍ,,
,None,اسم,رِزْقًا,,
قَالُوا,قالوا,,,قلو,جذر
هَٰذَا,,اسم,هذا,,
الَّذِي,,اسم,الَّذِي,لذي,جذر
رُزِقْنَا,رزقنا,,,رزق,جذر
,,فعل,مِنْ,,
,قبل,حرف,قَبْلُ,,
وَأُتُوا,واتوا,,,,
,به,حرف_جر,بِهِ,,
,None,اسم,مُتَشَابِهًا,,
,ولهم,حرف_جر,وَلَهُمْ,,
,فيها,اسم,فِيهَا,,
,None,اسم,أَزْوَاجٌ,,
,None,اسم,مُطَهَّرَةٌ,,
,وهم,حرف,وَهُمْ,,
,فيها,حرف_جر,فِيهَا,,
,خالدون,اسم,خَالِدُونَ,,
,ان,حرف,إِنَّ,,
اللَّهَ,,اسم,اللَّهَ,,
,لا,حرف,لَا,,
يَسْتَحْيِي,يستحيي,,,حيي,جذر
,ان,حرف,أَنْ,,
يَضْرِبَ,يضرب,,,ضرب,جذر
,None,اسم,مَثَلًا,,
مَا,,اسم,ما,,
,None,اسم,بَعُوضَةً,,
,فما,حرف,فَمَا,,
فَوْقَهَا,فوقها,,,فقه,جذر
,فاما,حرف,فَأَمَّا,,
الَّذِينَ,,اسم,الَّذِينَ,لذي,جذر
آمَنُوا,امنوا,,,منو,جذر
فَيَعْلَمُونَ,فيعلمون,,,علم,جذر
أَنَّهُ,انه,,,,
الْحَقُّ,,اسم,الْحَقُّ,لحق,جذر
,,فعل,مِنْ,,
رَبِّهِمْ,ربهم,,,,
وَأَمَّا,واما,,,,
الَّذِينَ,,اسم,الَّذِينَ,لذي,جذر
كَفَرُوا,كفروا,,,كرو,جذر
فَيَقُولُونَ,فيقولون,,,فقو,جذر
مَاذَا,,اسم,ماذا,,
أَرَادَ,اراد,,,,
اللَّهُ,,اسم,اللَّهُ,,
بِهَٰذَا,,اسم,بهذا,,
,None,اسم,مَثَلًا,,
يُضِلُّ,يضل,,,,
,به,حرف_جر,بِهِ,,
,None,اسم,كَثِيرًا,,
وَيَهْدِي,ويهدي,,,هدي,جذر
,به,حرف_جر,بِهِ,,
,None,اسم,كَثِيرًا,,
,وما,حرف,وَمَا,,
يُضِلُّ,يضل,,,,
,به,حرف_جر,بِهِ,,
,الا,اسم,إِلَّا,,
الْفَاسِقِينَ,الفاسقين,اسم,الْفَاسِقِينَ,فسق,جذر
الَّذِينَ,,اسم,الَّذِينَ,لذي,جذر
يَنْقُضُونَ,ينقضون,,,ضون,جذر
عَهْدَ,عهد,,,عهد,جذر
اللَّهِ,,اسم,اللَّهِ,,
,,فعل,مِنْ,,
بَعْدِ,بعد,,,بعد,جذر
مِيثَاقِهِ,ميثاقه,,,مقه,جذر
وَيَقْطَعُونَ,ويقطعون,,,طعن,جذر
مَا,,اسم,ما,,
,امر,فعل,,,
اللَّهُ,,اسم,اللَّهُ,,
,به,حرف_جر,بِهِ,,
,ان,اسم,أَنْ,,
يُوصَلَ,يوصل,,,وصل,جذر
وَيُفْسِدُونَ,ويفسدون,,,فسد,جذر
,في,حرف_جر,فِي,,
,الارض,اسم,الْأَرْضِ,,
أُولَٰئِكَ,,اسم,اوليك,,
هُمُ,,اسم,هم,,
الْخَاسِرُونَ,الخاسرون,اسم,الْخَاسِرُونَ,لخن,جذر
كَيْفَ,,اسم,كيف,كيف,جذر
تَكْفُرُونَ,تكفرون,,,تفن,جذر
بِاللَّهِ,بالله,,,بلل,جذر
وَكُنْتُمْ,وكنتم,,,كتم,جذر
,None,اسم,أَمْوَاتًا,,
فَأَحْيَاكُمْ,فاحياكم,,,حكم,جذر
ثُمَّ,,اسم,ثم,,
يُمِيتُكُمْ,يميتكم,,,متك,جذر
ثُمَّ,,اسم,ثم,,
يُحْيِيكُمْ,يحييكم,,,حكم,جذر
ثُمَّ,,اسم,ثم,,
,اليه,حرف_جر,إِلَيْهِ,,
,ترجعون,اسم,تُرْجَعُونَ,,
هُوَ,,اسم,هو,,
الَّذِي,,اسم,الَّذِي,لذي,جذر
,خلق,فعل,,,
,لكم,حرف_جر,لَكُمْ,,
مَا,,اسم,ما,,
,في,حرف_جر,فِي,,
,الارض,اسم,الْأَرْضِ,,
,None,اسم,جَمِيعًا,,
ثُمَّ,,اسم,ثم,,
اسْتَوَىٰ,استوي,,,,
,الي,حرف_جر,إِلَى,,
,السماء,اسم,السَّمَاءِ,,
فَسَوَّاهُنَّ,فسواهن,,,فسو,جذر
سَبْعَ,,اسم,سبع,سبع,جذر
,None,اسم,سَمَاوَاتٍ,,
,وهو,حرف,وَهُوَ,,
بِكُلِّ,بكل,,,بكل,جذر
,None,اسم,شَيْءٍ,,
,None,اسم,عَلِيمٌ,,
,واذ,حرف,وَإِذْ,,
,قال,فعل,,,
رَبُّكَ,ربك,,,ربك,جذر
لِلْمَلَائِكَةِ,للملايكه,,,لمك,جذر
إِنِّي,,اسم,اني,,
,None,اسم,جَاعِلٌ,,
,في,حرف_جر,فِي,,
,الارض,اسم,الْأَرْضِ,,
,None,اسم,خَلِيفَةً,,
قَالُوا,قالوا,,,قلو,جذر
أَتَجْعَلُ,اتجعل,,,تعل,جذر
,فيها,حرف_جر,فِيهَا,,
,,فعل,مَنْ,,
يُفْسِدُ,يفسد,,,فسد,جذر
,فيها,حرف_جر,فِيهَا,,
,ويسفك,اسم,وَيَسْفِكُ,,
الدِّمَاءَ,الدماء,اسم,الدِّمَاءَ,لدم,جذر
,ونحن,حرف,وَنَحْنُ,,
نُسَبِّحُ,نسبح,,,نبح,جذر
بِحَمْدِكَ,بحمدك,,,حمد,جذر
وَنُقَدِّسُ,ونقدس,,,قدس,جذر
,لك,حرف_جر,لَكَ,,
,قال,اسم,قَالَ,,
إِنِّي,,اسم,اني,,
أَعْلَمُ,اعلم,,,علم,جذر
مَا,,اسم,ما,,
,لا,حرف,لَا,,
تَعْلَمُونَ,تعلمون,,,تعل,جذر
وَعَلَّمَ,وعلم,,,علم,جذر
آدَمَ,,اسم,ادم,,
الْأَسْمَاءَ,الاسماء,اسم,الْأَسْمَاءَ,لسم,جذر
كُلَّهَا,كلها,,,,
ثُمَّ,,اسم,ثم,,
عَرَضَهُمْ,عرضهم,,,عرض,جذر
,علي,حرف_جر,عَلَى,,
,الملايكه,اسم,الْمَلَائِكَةِ,,
فَقَالَ,فقال,,,,
أَنْبِئُونِي,انبيوني,,,بني,جذر
بِأَسْمَاءِ,باسماء,,,بسء,جذر
هَٰؤُلَاءِ,,اسم,هولاء,,
,ان,حرف,إِنْ,,
كُنْتُمْ,كنتم,,,كتم,جذر
صَادِقِينَ,صادقين,,,صدق,جذر
قَالُوا,قالوا,,,قلو,جذر
سُبْحَانَكَ,سبحانك,,,حنك,جذر
,لا,حرف,لَا,,
عِلْمَ,علم,,,علم,جذر
,لنا,حرف_جر,لَنَا,,
,الا,اسم,إِلَّا,,
مَا,,اسم,ما,,
عَلَّمْتَنَا,علمتنا,,,عتن,جذر
إِنَّكَ,انك,,,,
أَنْتَ,,اسم,انت,,
الْعَلِيمُ,,اسم,الْعَلِيمُ,علم,جذر
الْحَكِيمُ,,اسم,الْحَكِيمُ,حكم,جذر
,قال,فعل,,,
,يا,حرف,يَا,,
آدَمُ,,اسم,ادم,,
أَنْبِئْهُمْ,انبيهم,,,نبه,جذر
بِأَسْمَائِهِمْ,باسمايهم,,,بسم,جذر
,فلما,حرف,فَلَمَّا,,
أَنْبَأَهُمْ,انباهم,,,نبه,جذر
بِأَسْمَائِهِمْ,باسمايهم,,,بسم,جذر
,قال,فعل,,,
أَلَمْ,الم,,,,
أَقُلْ,اقل,,,,
,لكم,حرف_جر,لَكُمْ,,
إِنِّي,,اسم,اني,,
أَعْلَمُ,اعلم,,,علم,جذر
غَيْبَ,غيب,,,غيب,جذر
السَّمَاوَاتِ,السماوات,اسم,السَّمَاوَاتِ,لسم,جذر
وَالْأَرْضِ,والارض,,,ورض,جذر
وَأَعْلَمُ,واعلم,,,علم,جذر
مَا,,اسم,ما,,
تُبْدُونَ,تبدون,,,بدن,جذر
,وما,حرف,وَمَا,,
كُنْتُمْ,كنتم,,,كتم,جذر
تَكْتُمُونَ,تكتمون,,,كتم,جذر
,واذ,حرف,وَإِذْ,,
قُلْنَا,قلنا,,,,
لِلْمَلَائِكَةِ,للملايكه,,,لمك,جذر
اسْجُدُوا,اسجدوا,,,جدو,جذر
لِآدَمَ,لادم,,,لدم,جذر
فَسَجَدُوا,فسجدوا,,,جدو,جذر
,الا,حرف,إِلَّا,,
إِبْلِيسَ,,اسم,ابليس,بلي,جذر
أَبَىٰ,ابي,,,,
وَاسْتَكْبَرَ,واستكبر,,,تبر,جذر
وَكَانَ,وكان,,,وكن,جذر
مِنَ,,اسم,من,,
الْكَافِرِينَ,الكافرين,اسم,الْكَافِرِينَ,فري,جذر
وَقُلْنَا,وقلنا,,,وقل,جذر
,يا,حرف,يَا,,
آدَمُ,,اسم,ادم,,
,اسكن,فعل,اسْكُنْ,,
أَنْتَ,,اسم,انت,,
وَزَوْجُكَ,وزوجك,,,زوج,جذر
الْجَنَّةَ,الجنه,اسم,الْجَنَّةَ,لجن,جذر
وَكُلَا,وكلا,,,وكل,جذر
,منها,حرف_جر,مِنْهَا,,
,None,اسم,رَغَدًا,,
حَيْثُ,,اسم,حيث,,
شِئْتُمَا,شيتما,,,شتم,جذر
,ولا,حرف,وَلَا,,
تَقْرَبَا,تقربا,,,ترب,جذر
هَٰذِهِ,,اسم,هذه,,
الشَّجَرَةَ,الشجره,اسم,الشَّجَرَةَ,شجر,جذر
فَتَكُونَا,فتكونا,,,فتك,جذر
مِنَ,,اسم,من,,
الظَّالِمِينَ,الظالمين,اسم,الظَّالِمِينَ,ظلم,جذر
فَأَزَلَّهُمَا,فازلهما,,,فهم,جذر
الشَّيْطَانُ,الشيطان,اسم,الشَّيْطَانُ,شطن,جذر
,عنها,حرف_جر,عَنْهَا,,
,فاخرجهما,اسم,فَأَخْرَجَهُمَا,,
,مما,حرف_جر,مِمَّا,,
,كانا,اسم,كَانَا,,
,فيه,حرف_جر,فِيهِ,,
,وقلنا,اسم,وَقُلْنَا,,
اهْبِطُوا,اهبطوا,,,هبط,جذر
بَعْضُكُمْ,بعضكم,,,بضك,جذر
,None,اسم,لِبَعْضٍ,,
,None,اسم,عَدُوٌّ,,
,ولكم,حرف_جر,وَلَكُمْ,,
,في,اسم,فِي,,
الْأَرْضِ,الارض,اسم,الْأَرْضِ,,
,None,اسم,مُسْتَقَرٌّ,,
,None,اسم,وَمَتَاعٌ,,
إِلَىٰ,الي,,,,
,None,اسم,حِينٍ,,
فَتَلَقَّىٰ,فتلقي,,,فتق,جذر
آدَمُ,,اسم,ادم,,
,,فعل,مِنْ,,
رَبِّهِ,ربه,,,,
,None,اسم,كَلِمَاتٍ,,
فَتَابَ,فتاب,,,,
,عليه,حرف_جر,عَلَيْهِ,,
,انه,اسم,إِنَّهُ,,
هُوَ,,اسم,هو,,
التَّوَّابُ,,اسم,التَّوَّابُ,توب,جذر
الرَّحِيمُ,,اسم,الرَّحِيمُ,لحم,جذر
قُلْنَا,قلنا,,,,
اهْبِطُوا,اهبطوا,,,هبط,جذر
,منها,حرف_جر,مِنْهَا,,
,None,اسم,جَمِيعًا,,
فَإِمَّا,فاما,,,,
يَأْتِيَنَّكُمْ,ياتينكم,,,تنم,جذر
,مني,حرف_جر,مِنِّي,,
,هدي,اسم,هُدًى,,
,فمن,حرف_جر,فَمَنْ,,
,تبع,اسم,تَبِعَ,,
هُدَايَ,هداي,,,هدي,جذر
,فلا,حرف,فَلَا,,
