data,بدون_تشكيل,tag,المحذوف,pattern,word_type,pattern_score
,ام,حرف,أَمْ,,,0.0
,,فعل,لَمْ,,,0.0
تُنْذِرْهُمْ,تنذرهم,,,تَفَعَّل,فعل,1.0
,لا,حرف,لَا,,,0.0
يُؤْمِنُونَ,يومنون,,,يفعل,فعل,1.0
,ختم,فعل,,,,0.0
اللَّهُ,,اسم,اللَّهُ,لفظ_الجلالة,اسم,1.0
,علي,حرف_جر,عَلَىٰ,,,0.0
,قلوبهم,اسم,قُلُوبِهِمْ,,,0.0
,وعلي,حرف_جر,وَعَلَىٰ,,,0.0
,سمعهم,اسم,سَمْعِهِمْ,,,0.0
,وعلي,حرف_جر,وَعَلَىٰ,,,0.0
,ابصارهم,اسم,أَبْصَارِهِمْ,,,0.0
,None,اسم,غِشَاوَةٌ,,,0.0
,ولهم,حرف_جر,وَلَهُمْ,,,0.0
,None,اسم,عَذَابٌ,,,0.0
,None,اسم,عَظِيمٌ,,,0.0
,ومن,حرف_جر,وَمِنَ,,,0.0
,الناس,اسم,النَّاسِ,,,0.0
,,فعل,مَنْ,,,0.0
,يقول,فعل,,,,0.0
آمَنَّا,امنا,,,أفعال,اسم,1.0
بِاللَّهِ,بالله,,,لفظ_الجلالة,اسم,1.0
وَبِالْيَوْمِ,وباليوم,,,تَفَعَّل,فعل,1.0
الْآخِرِ,,اسم,الْآخِرِ,,,0.0
,وما,حرف,وَمَا,,,0.0
هُمْ,,اسم,هم,,,0.0
بِمُؤْمِنِينَ,بمومنين,,,فعلان,اسم,1.0
يُخَادِعُونَ,يخادعون,,,,,0.0
اللَّهَ,,اسم,اللَّهَ,لفظ_الجلالة,اسم,1.0
وَالَّذِينَ,,اسم,والذين,فعل,فعل,1.0
آمَنُوا,امنوا,,,مفعول,اسم,0.6
,وما,حرف,وَمَا,,,0.0
يَخْدَعُونَ,يخدعون,,,تَفاعَل,فعل,1.0
,الا,حرف,إِلَّا,,,0.0
أَنْفُسَهُمْ,انفسهم,,,انفعل,فعل,1.0
,وما,حرف,وَمَا,,,0.0
يَشْعُرُونَ,يشعرون,,,فاعَل,فعل,1.0
,في,حرف_جر,فِي,,,0.0
,قلوبهم,اسم,قُلُوبِهِمْ,,,0.0
,None,اسم,مَرَضٌ,,,0.0
فَزَادَهُمُ,فزادهم,,,فعل,فعل,1.0
اللَّهُ,,اسم,اللَّهُ,لفظ_الجلالة,اسم,1.0
,None,اسم,مَرَضًا,,,0.0
,ولهم,حرف_جر,وَلَهُمْ,,,0.0
,None,اسم,عَذَابٌ,,,0.0
,None,اسم,أَلِيمٌ,,,0.0
,بما,حرف_جر,بِمَا,,,0.0
,كانوا,اسم,كَانُوا,,,0.0
يَكْذِبُونَ,يكذبون,,,يفعل,فعل,1.0
وَإِذَا,واذا,,,فعلان,اسم,1.0
قِيلَ,قيل,,,فعل,فعل,1.0
,لهم,حرف_جر,لَهُمْ,,,0.0
,لا,اسم,لَا,,,0.0
تُفْسِدُوا,تفسدوا,,,تَفَعَّل,فعل,1.0
,في,حرف_جر,فِي,,,0.0
,الارض,اسم,الْأَرْضِ,,,0.0
قَالُوا,قالوا,,,فعل,فعل,1.0
,انما,حرف,إِنَّمَا,,,0.0
نَحْنُ,,اسم,نحن,نفعل,فعل,1.0
مُصْلِحُونَ,مصلحون,,,فعل,فعل,1.0
,الا,فعل,,,,0.0
إِنَّهُمْ,انهم,,,انفعل,فعل,1.0
هُمُ,,اسم,هم,,,0.0
الْمُفْسِدُونَ,المفسدون,اسم,الْمُفْسِدُونَ,,,0.0
,ولكن,حرف,وَلَٰكِنْ,,,0.0
,لا,حرف,لَا,,,0.0
يَشْعُرُونَ,يشعرون,,,فاعَل,فعل,1.0
وَإِذَا,واذا,,,فعلان,اسم,1.0
قِيلَ,قيل,,,فعل,فعل,1.0
,لهم,حرف_جر,لَهُمْ,,,0.0
,امنوا,اسم,آمِنُوا,,,0.0
,كما,حرف,كَمَا,,,0.0
آمَنَ,امن,,,,,0.0
النَّاسُ,الناس,اسم,النَّاسُ,,,0.0
قَالُوا,قالوا,,,فعل,فعل,1.0
أَنُؤْمِنُ,انومن,,,انفعل,فعل,1.0
,كما,حرف,كَمَا,,,0.0
آمَنَ,امن,,,,,0.0
السُّفَهَاءُ,السفهاء,اسم,السُّفَهَاءُ,استفعال,اسم,0.6
,الا,فعل,,,,0.0
إِنَّهُمْ,انهم,,,انفعل,فعل,1.0
هُمُ,,اسم,هم,,,0.0
السُّفَهَاءُ,السفهاء,اسم,السُّفَهَاءُ,استفعال,اسم,0.6
,ولكن,حرف,وَلَٰكِنْ,,,0.0
,لا,حرف,لَا,,,0.0
يَعْلَمُونَ,يعلمون,,,فعل,فعل,1.0
وَإِذَا,واذا,,,فعلان,اسم,1.0
لَقُوا,لقوا,,,فعول,اسم,0.6
الَّذِينَ,,اسم,الَّذِينَ,,,0.0
آمَنُوا,امنوا,,,مفعول,اسم,0.6
قَالُوا,قالوا,,,فعل,فعل,1.0
آمَنَّا,امنا,,,أفعال,اسم,1.0
وَإِذَا,واذا,,,فعلان,اسم,1.0
خَلَوْا,خلوا,,,فعول,اسم,0.6
إِلَىٰ,الي,,,,,0.0
شَيَاطِينِهِمْ,شياطينهم,,,تَفاعَل,فعل,1.0
قَالُوا,قالوا,,,فعل,فعل,1.0
إِنَّا,,اسم,انا,تَفاعَل,فعل,1.0
مَعَكُمْ,معكم,,,فعل,فعل,1.0
,انما,حرف,إِنَّمَا,,,0.0
نَحْنُ,,اسم,نحن,نفعل,فعل,1.0
مُسْتَهْزِئُونَ,مستهزيون,,,مفعل,اسم,1.1
اللَّهُ,,اسم,اللَّهُ,لفظ_الجلالة,اسم,1.0
يَسْتَهْزِئُ,يستهزي,,,افتعل,فعل,1.0
,بهم,حرف_جر,بِهِمْ,,,0.0
,ويمدهم,اسم,وَيَمُدُّهُمْ,,,0.0
,في,حرف_جر,فِي,,,0.0
,طغيانهم,اسم,طُغْيَانِهِمْ,,,0.0
يَعْمَهُونَ,يعمهون,,,فعل,فعل,1.0
أُولَٰئِكَ,,اسم,اوليك,فعل,فعل,1.0
الَّذِينَ,,اسم,الَّذِينَ,,,0.0
اشْتَرَوُا,اشتروا,,,انفعل,فعل,1.0
الضَّلَالَةَ,الضلاله,اسم,الضَّلَالَةَ,تَفَعَّل,فعل,1.0
بِالْهُدَىٰ,بالهدي,,,فعل,فعل,1.0
,فما,حرف,فَمَا,,,0.0
رَبِحَتْ,ربحت,,,,,0.0
تِجَارَتُهُمْ,تجارتهم,,,تَفَعَّل,فعل,1.0
,وما,حرف,وَمَا,,,0.0
كَانُوا,كانوا,,,مفعول,اسم,1.1
مُهْتَدِينَ,مهتدين,,,مفعل,اسم,1.1
مَثَلُهُمْ,مثلهم,,,فعل,فعل,1.0
كَمَثَلِ,كمثل,,,فاعَل,فعل,1.0
الَّذِي,,اسم,الَّذِي,,,0.0
اسْتَوْقَدَ,استوقد,,,مفعول,اسم,1.1
,None,اسم,نَارًا,,,0.0
,فلما,حرف,فَلَمَّا,,,0.0
أَضَاءَتْ,اضاءت,,,مفاعل,اسم,1.0
مَا,,اسم,ما,مفعل,اسم,1.1
حَوْلَهُ,حوله,,,فعل,فعل,1.0
,,فعل,,,,0.0
اللَّهُ,,اسم,اللَّهُ,لفظ_الجلالة,اسم,1.0
بِنُورِهِمْ,بنورهم,,,فعول,اسم,1.1
وَتَرَكَهُمْ,وتركهم,,,,,0.0
,في,حرف_جر,فِي,,,0.0
,None,اسم,ظُلُمَاتٍ,,,0.0
,لا,حرف,لَا,,,0.0
يُبْصِرُونَ,يبصرون,,,يفعل,فعل,1.0
,None,اسم,صُمٌّ,,,0.0
,None,اسم,بُكْمٌ,,,0.0
,None,اسم,عُمْيٌ,,,0.0
,فهم,حرف,فَهُمْ,,,0.0
,لا,حرف,لَا,,,0.0
يَرْجِعُونَ,يرجعون,,,تَفاعَل,فعل,1.0
,او,حرف,أَوْ,,,0.0
,None,اسم,كَصَيِّبٍ,,,0.0
مِنَ,,اسم,من,مفعل,اسم,1.1
السَّمَاءِ,السماء,اسم,السَّمَاءِ,افتعال,اسم,0.6666666666666666
,فيه,حرف_جر,فِيهِ,,,0.0
,None,اسم,ظُلُمَاتٌ,,,0.0
,None,اسم,وَرَعْدٌ,,,0.0
,None,اسم,وَبَرْقٌ,,,0.0
يَجْعَلُونَ,يجعلون,,,فاعَل,فعل,1.0
أَصَابِعَهُمْ,اصابعهم,,,,,0.0
,في,حرف_جر,فِي,,,0.0
,اذانهم,اسم,آذَانِهِمْ,,,0.0
مِنَ,,اسم,من,مفعل,اسم,1.1
الصَّوَاعِقِ,الصواعق,اسم,الصَّوَاعِقِ,,,0.0
حَذَرَ,حذر,,,,,0.0
الْمَوْتِ,الموت,اسم,الْمَوْتِ,,,0.0
وَاللَّهُ,والله,,,لفظ_الجلالة,اسم,1.0
,None,اسم,مُحِيطٌ,,,0.0
بِالْكَافِرِينَ,بالكافرين,,,,,0.0
يَكَادُ,يكاد,,,تَفاعَل,فعل,1.0
الْبَرْقُ,البرق,اسم,الْبَرْقُ,,,0.0
يَخْطَفُ,يخطف,,,استفعل,فعل,1.0
أَبْصَارَهُمْ,ابصارهم,,,فعلان,اسم,1.0
كُلَّمَا,كلما,,,,,0.0
أَضَاءَ,اضاء,,,تَفاعَل,فعل,1.0
,لهم,حرف_جر,لَهُمْ,,,0.0
,مشوا,اسم,مَشَوْا,,,0.0
,فيه,حرف_جر,فِيهِ,,,0.0
,واذا,اسم,وَإِذَا,,,0.0
أَظْلَمَ,اظلم,,,فعل,فعل,1.0
,عليهم,حرف_جر,عَلَيْهِمْ,,,0.0
,قاموا,اسم,قَامُوا,,,0.0
,ولو,حرف,وَلَوْ,,,0.0
,شاء,فعل,,,,0.0
اللَّهُ,,اسم,اللَّهُ,لفظ_الجلالة,اسم,1.0
لَذَهَبَ,لذهب,,,,,0.0
بِسَمْعِهِمْ,بسمعهم,,,تَفاعَل,فعل,1.0
وَأَبْصَارِهِمْ,وابصارهم,,,,,0.0
,ان,حرف,إِنَّ,,,0.0
اللَّهَ,,اسم,اللَّهَ,لفظ_الجلالة,اسم,1.0
,علي,حرف_جر,عَلَىٰ,,,0.0
,كل,اسم,كُلِّ,,,0.0
,None,اسم,شَيْءٍ,,,0.0
,None,اسم,قَدِيرٌ,,,0.0
,يا,حرف,يَا,,,0.0
,ايها,حرف,أَيُّهَا,,,0.0
النَّاسُ,الناس,اسم,النَّاسُ,,,0.0
اعْبُدُوا,اعبدوا,,,فعل,فعل,1.0
رَبَّكُمُ,ربكم,,,,,0.0
الَّذِي,,اسم,الَّذِي,,,0.0
خَلَقَكُمْ,خلقكم,,,,,0.0
وَالَّذِينَ,,اسم,والذين,فعل,فعل,1.0
,,فعل,مِنْ,,,0.0
قَبْلِكُمْ,قبلكم,,,فعل,فعل,1.0
لَعَلَّكُمْ,لعلكم,,,فعل,فعل,1.0
تَتَّقُونَ,تتقون,,,مفعول,اسم,1.1
الَّذِي,,اسم,الَّذِي,,,0.0
,جعل,فعل,,,,0.0
لَكُمُ,لكم,,,,,0.0
الْأَرْضَ,الارض,اسم,الْأَرْضَ,,,0.0
,None,اسم,فِرَاشًا,,,0.0
وَالسَّمَاءَ,والسماء,,,فعل,فعل,1.0
,None,اسم,بِنَاءً,,,0.0
وَأَنْزَلَ,وانزل,,,تَفاعَل,فعل,1.0
مِنَ,,اسم,من,مفعل,اسم,1.1
السَّمَاءِ,السماء,اسم,السَّمَاءِ,افتعال,اسم,0.6666666666666666
,None,اسم,مَاءً,,,0.0
فَأَخْرَجَ,فاخرج,,,فعل,فعل,1.0
,به,حرف_جر,بِهِ,,,0.0
مِنَ,,اسم,من,مفعل,اسم,1.1
الثَّمَرَاتِ,الثمرات,اسم,الثَّمَرَاتِ,,,0.0
,None,اسم,رِزْقًا,,,0.0
,لكم,حرف_جر,لَكُمْ,,,0.0
,فلا,اسم,فَلَا,,,0.0
تَجْعَلُوا,تجعلوا,,,تَفَعَّل,فعل,1.0
لِلَّهِ,,اسم,لله,,,0.0
,None,اسم,أَنْدَادًا,,,0.0
,وانتم,حرف,وَأَنْتُمْ,,,0.0
تَعْلَمُونَ,تعلمون,,,فعل,فعل,1.0
,وان,حرف,وَإِنْ,,,0.0
كُنْتُمْ,كنتم,,,انفعل,فعل,1.0
,في,حرف_جر,فِي,,,0.0
,None,اسم,رَيْبٍ,,,0.0
,مما,حرف_جر,مِمَّا,,,0.0
,نزلنا,اسم,نَزَّلْنَا,,,0.0
,علي,حرف_جر,عَلَىٰ,,,0.0
,عبدنا,اسم,عَبْدِنَا,,,0.0
فَأْتُوا,فاتوا,,,فعل,فعل,1.0
,None,اسم,بِسُورَةٍ,,,0.0
,,فعل,مِنْ,,,0.0
مِثْلِهِ,مثله,,,فعل,فعل,1.0
وَادْعُوا,وادعوا,,,,,0.0
شُهَدَاءَكُمْ,شهداءكم,,,فعلان,اسم,1.0
,,فعل,مِنْ,,,0.0
دُونِ,,اسم,دون,,,0.0
اللَّهِ,,اسم,اللَّهِ,لفظ_الجلالة,اسم,1.0
,ان,حرف,إِنْ,,,0.0
كُنْتُمْ,كنتم,,,انفعل,فعل,1.0
صَادِقِينَ,صادقين,,,فاعَل,فعل,1.0
,فان,حرف,فَإِنْ,,,0.0
,,فعل,لَمْ,,,0.0
تَفْعَلُوا,تفعلوا,,,تَفَعَّل,فعل,1.0
,ولن,حرف,وَلَنْ,,,0.0
تَفْعَلُوا,تفعلوا,,,تَفَعَّل,فعل,1.0
فَاتَّقُوا,فاتقوا,,,فعل,فعل,1.0
النَّارَ,النار,اسم,النَّارَ,,,0.0
الَّتِي,,اسم,الَّتِي,افتعل,فعل,0.6666666666666666
وَقُودُهَا,وقودها,,,فعول,اسم,1.1
النَّاسُ,الناس,اسم,النَّاسُ,,,0.0
وَالْحِجَارَةُ,والحجاره,,,فعل,فعل,1.0
أُعِدَّتْ,اعدت,,,فعل,فعل,1.0
لِلْكَافِرِينَ,للكافرين,,,,,0.0
وَبَشِّرِ,وبشر,,,,,0.0
الَّذِينَ,,اسم,الَّذِينَ,,,0.0
آمَنُوا,امنوا,,,مفعول,اسم,0.6
وَعَمِلُوا,وعملوا,,,فعيل,اسم,1.0
الصَّالِحَاتِ,الصالحات,اسم,الصَّالِحَاتِ,انفعل,فعل,1.0
,ان,حرف,أَنَّ,,,0.0
,لهم,حرف_جر,لَهُمْ,,,0.0
,None,اسم,جَنَّاتٍ,,,0.0
تَجْرِي,تجري,,,تَفَعَّل,فعل,1.0
,,فعل,مِنْ,,,0.0
تَحْتِهَا,تحتها,,,تَفَعَّل,فعل,1.0
الْأَنْهَارُ,الانهار,اسم,الْأَنْهَارُ,استفعال,اسم,0.6666666666666666
كُلَّمَا,كلما,,,,,0.0
رُزِقُوا,رزقوا,,,مفعول,اسم,1.1
,منها,حرف_جر,مِنْهَا,,,0.0
,,فعل,مِنْ,,,0.0
,None,اسم,ثَمَرَةٍ,,,0.0
,None,اسم,رِزْقًا,,,0.0
قَالُوا,قالوا,,,فعل,فعل,1.0
هَٰذَا,,اسم,هذا,فعلان,اسم,1.0
الَّذِي,,اسم,الَّذِي,,,0.0
رُزِقْنَا,رزقنا,,,,,0.0
,,فعل,مِنْ,,,0.0
,قبل,حرف,قَبْلُ,,,0.0
وَأُتُوا,واتوا,,,مفعول,اسم,1.1
,به,حرف_جر,بِهِ,,,0.0
,None,اسم,مُتَشَابِهًا,,,0.0
,ولهم,حرف_جر,وَلَهُمْ,,,0.0
,فيها,اسم,فِيهَا,,,0.0
,None,اسم,أَزْوَاجٌ,,,0.0
,None,اسم,مُطَهَّرَةٌ,,,0.0
,وهم,حرف,وَهُمْ,,,0.0
,فيها,حرف_جر,فِيهَا,,,0.0
,خالدون,اسم,خَالِدُونَ,,,0.0
,ان,حرف,إِنَّ,,,0.0
اللَّهَ,,اسم,اللَّهَ,لفظ_الجلالة,اسم,1.0
,لا,حرف,لَا,,,0.0
يَسْتَحْيِي,يستحيي,,,افتعل,فعل,1.0
,ان,حرف,أَنْ,,,0.0
يَضْرِبَ,يضرب,,,يفعل,فعل,1.0
,None,اسم,مَثَلًا,,,0.0
مَا,,اسم,ما,مفعل,اسم,1.1
,None,اسم,بَعُوضَةً,,,0.0
,فما,حرف,فَمَا,,,0.0
فَوْقَهَا,فوقها,,,فعل,فعل,1.0
,فاما,حرف,فَأَمَّا,,,0.0
الَّذِينَ,,اسم,الَّذِينَ,,,0.0
آمَنُوا,امنوا,,,مفعول,اسم,0.6
فَيَعْلَمُونَ,فيعلمون,,,فاعَل,فعل,1.0
أَنَّهُ,انه,,,انفعل,فعل,1.0
الْحَقُّ,,اسم,الْحَقُّ,,,0.0
,,فعل,مِنْ,,,0.0
رَبِّهِمْ,ربهم,,,,,0.0
وَأَمَّا,واما,,,فعلان,اسم,1.0
الَّذِينَ,,اسم,الَّذِينَ,,,0.0
كَفَرُوا,كفروا,,,مفعول,اسم,1.1
فَيَقُولُونَ,فيقولون,,,فعائل,اسم,1.0
مَاذَا,,اسم,ماذا,مفعل,اسم,1.1
أَرَادَ,اراد,,,تَفاعَل,فعل,1.0
اللَّهُ,,اسم,اللَّهُ,لفظ_الجلالة,اسم,1.0
بِهَٰذَا,,اسم,بهذا,,,0.0
,None,اسم,مَثَلًا,,,0.0
يُضِلُّ,يضل,,,فعل,فعل,1.0
,به,حرف_جر,بِهِ,,,0.0
,None,اسم,كَثِيرًا,,,0.0
وَيَهْدِي,ويهدي,,,,,0.0
,به,حرف_جر,بِهِ,,,0.0
,None,اسم,كَثِيرًا,,,0.0
,وما,حرف,وَمَا,,,0.0
يُضِلُّ,يضل,,,فعل,فعل,1.0
,به,حرف_جر,بِهِ,,,0.0
,الا,اسم,إِلَّا,,,0.0
الْفَاسِقِينَ,الفاسقين,اسم,الْفَاسِقِينَ,,,0.0
الَّذِينَ,,اسم,الَّذِينَ,,,0.0
يَنْقُضُونَ,ينقضون,,,انفعل,فعل,1.0
عَهْدَ,عهد,,,,,0.0
اللَّهِ,,اسم,اللَّهِ,لفظ_الجلالة,اسم,1.0
,,فعل,مِنْ,,,0.0
بَعْدِ,بعد,,,فعل,فعل,1.0
مِيثَاقِهِ,ميثاقه,,,مفعل,اسم,1.1
وَيَقْطَعُونَ,ويقطعون,,,استفعل,فعل,1.0
مَا,,اسم,ما,مفعل,اسم,1.1
,امر,فعل,,,,0.0
اللَّهُ,,اسم,اللَّهُ,لفظ_الجلالة,اسم,1.0
,به,حرف_جر,بِهِ,,,0.0
,ان,اسم,أَنْ,,,0.0
يُوصَلَ,يوصل,,,فاعَل,فعل,1.0
وَيُفْسِدُونَ,ويفسدون,,,,,0.0
,في,حرف_جر,فِي,,,0.0
,الارض,اسم,الْأَرْضِ,,,0.0
أُولَٰئِكَ,,اسم,اوليك,فعل,فعل,1.0
هُمُ,,اسم,هم,,,0.0
الْخَاسِرُونَ,الخاسرون,اسم,الْخَاسِرُونَ,,,0.0
كَيْفَ,,اسم,كيف,انفعل,فعل,1.0
تَكْفُرُونَ,تكفرون,,,,,0.0
بِاللَّهِ,بالله,,,لفظ_الجلالة,اسم,1.0
وَكُنْتُمْ,وكنتم,,,,,0.0
,None,اسم,أَمْوَاتًا,,,0.0
فَأَحْيَاكُمْ,فاحياكم,,,فعل,فعل,1.0
ثُمَّ,,اسم,ثم,,,0.0
يُمِيتُكُمْ,يميتكم,,,يفعل,فعل,1.0
ثُمَّ,,اسم,ثم,,,0.0
يُحْيِيكُمْ,يحييكم,,,يفعل,فعل,1.0
ثُمَّ,,اسم,ثم,,,0.0
,اليه,حرف_جر,إِلَيْهِ,,,0.0
,ترجعون,اسم,تُرْجَعُونَ,,,0.0
هُوَ,,اسم,هو,,,0.0
الَّذِي,,اسم,الَّذِي,,,0.0
,خلق,فعل,,,,0.0
,لكم,حرف_جر,لَكُمْ,,,0.0
مَا,,اسم,ما,مفعل,اسم,1.1
,في,حرف_جر,فِي,,,0.0
,الارض,اسم,الْأَرْضِ,,,0.0
,None,اسم,جَمِيعًا,,,0.0
ثُمَّ,,اسم,ثم,,,0.0
اسْتَوَىٰ,استوي,,,مفعول,اسم,1.1
,الي,حرف_جر,إِلَى,,,0.0
,السماء,اسم,السَّمَاءِ,,,0.0
فَسَوَّاهُنَّ,فسواهن,,,فعول,اسم,1.1
سَبْعَ,,اسم,سبع,فاعَل,فعل,1.0
,None,اسم,سَمَاوَاتٍ,,,0.0
,وهو,حرف,وَهُوَ,,,0.0
بِكُلِّ,بكل,,,فعل,فعل,1.0
,None,اسم,شَيْءٍ,,,0.0
,None,اسم,عَلِيمٌ,,,0.0
,واذ,حرف,وَإِذْ,,,0.0
,قال,فعل,,,,0.0
رَبُّكَ,ربك,,,,,0.0
لِلْمَلَائِكَةِ,للملايكه,,,تَفَعَّل,فعل,1.0
إِنِّي,,اسم,اني,انفعل,فعل,1.0
,None,اسم,جَاعِلٌ,,,0.0
,في,حرف_جر,فِي,,,0.0
,الارض,اسم,الْأَرْضِ,,,0.0
,None,اسم,خَلِيفَةً,,,0.0
قَالُوا,قالوا,,,فعل,فعل,1.0
أَتَجْعَلُ,اتجعل,,,انفعل,فعل,1.0
,فيها,حرف_جر,فِيهَا,,,0.0
,,فعل,مَنْ,,,0.0
يُفْسِدُ,يفسد,,,تَفَعَّل,فعل,1.0
,فيها,حرف_جر,فِيهَا,,,0.0
,ويسفك,اسم,وَيَسْفِكُ,,,0.0
الدِّمَاءَ,الدماء,اسم,الدِّمَاءَ,افتعال,اسم,0.6666666666666666
,ونحن,حرف,وَنَحْنُ,,,0.0
نُسَبِّحُ,نسبح,,,استفعل,فعل,1.0
بِحَمْدِكَ,بحمدك,,,,,0.0
وَنُقَدِّسُ,ونقدس,,,انفعل,فعل,1.0
,لك,حرف_جر,لَكَ,,,0.0
,قال,اسم,قَالَ,,,0.0
إِنِّي,,اسم,اني,انفعل,فعل,1.0
أَعْلَمُ,اعلم,,,فعل,فعل,1.0
مَا,,اسم,ما,مفعل,اسم,1.1
,لا,حرف,لَا,,,0.0
تَعْلَمُونَ,تعلمون,,,فعل,فعل,1.0
وَعَلَّمَ,وعلم,,,فعل,فعل,1.0
آدَمَ,,اسم,ادم,,,0.0
الْأَسْمَاءَ,الاسماء,اسم,الْأَسْمَاءَ,,,0.0
كُلَّهَا,كلها,,,,,0.0
ثُمَّ,,اسم,ثم,,,0.0
عَرَضَهُمْ,عرضهم,,,,,0.0
,علي,حرف_جر,عَلَى,,,0.0
,الملايكه,اسم,الْمَلَائِكَةِ,,,0.0
فَقَالَ,فقال,,,فعيل,اسم,1.0
أَنْبِئُونِي,انبيوني,,,انفعل,فعل,1.0
بِأَسْمَاءِ,باسماء,,,,,0.0
هَٰؤُلَاءِ,,اسم,هولاء,تَفَعَّل,فعل,1.0
,ان,حرف,إِنْ,,,0.0
كُنْتُمْ,كنتم,,,انفعل,فعل,1.0
صَادِقِينَ,صادقين,,,فاعَل,فعل,1.0
قَالُوا,قالوا,,,فعل,فعل,1.0
سُبْحَانَكَ,سبحانك,,,فعلان,اسم,1.0
